geo_code,URB_CEDUC_TE1026V,URB_CLMA_EC1010V,URB_CLMA_EC1177V,URB_CPOP1_DE1001V,URB_CPOPCB_DE2009V,URB_CTRAN_TT1057I
DE092C,3728.5,4253.0,78012.66666666667,191817.42857142858,,499.045
DE093C,236.25,4668.333333333333,67387.5,172618.42857142858,37350.0,457.9575
DE094C,,3515.0,73536.5,162557.42857142858,34466.666666666664,513.63
DE095C,25183.833333333332,3977.6666666666665,80662.16666666667,165936.2857142857,49260.0,436.3875
DE096C,4575.666666666667,5192.666666666667,78007.83333333333,164770.85714285713,49133.333333333336,422.27750000000003
DE097C,849.0,3534.0,72824.66666666667,161838.0,33800.0,480.02750000000003
DE098C,17608.0,3714.0,83827.33333333333,154568.14285714287,28050.0,456.65999999999997
DE099C,961.5,3177.3333333333335,73733.83333333333,144363.0,,479.24
DE100C,35590.5,2440.3333333333335,72619.16666666667,144995.85714285713,44066.666666666664,311.7225
DE101C,21046.166666666668,2951.0,71890.83333333333,141594.7142857143,35650.0,482.0525
DE102C,33758.833333333336,1974.0,67448.0,116750.0,27633.333333333332,414.40250000000003
DE103C,2022.0,3347.3333333333335,52712.166666666664,113423.85714285714,17600.0,537.0575
DE104C,2711.5,1965.0,56962.333333333336,117469.42857142857,40216.666666666664,442.655
DE105C,2839.8,4363.6,48378.333333333336,101672.0,32066.666666666668,395.0375
DE106C,1534.1666666666667,2374.6666666666665,53280.0,107996.28571428571,15600.0,542.44
DE107C,8773.0,2839.3333333333335,62349.166666666664,124369.14285714286,50100.0,458.07
DE108C,,2354.3333333333335,51131.833333333336,117185.0,29066.666666666668,493.9175
DE109C,786.1666666666666,4588.333333333333,63922.333333333336,135517.2857142857,51833.333333333336,366.36249999999995
DE110C,13723.5,1931.3333333333333,65731.0,130388.57142857143,41075.0,426.6325
DE111C,5842.166666666667,3125.6666666666665,59683.833333333336,127115.42857142857,,425.405
DE112C,7225.333333333333,1835.6666666666667,71003.83333333333,134345.0,50520.0,461.76
DE113C,2263.6666666666665,2803.6666666666665,38255.833333333336,98276.42857142857,69033.33333333333,444.3775
DE114C,2094.6666666666665,3051.6666666666665,45087.666666666664,104315.83333333333,29400.0,496.5075
DE115C,5370.166666666667,2211.0,52227.666666666664,112730.85714285714,29633.333333333332,499.5925
DE116C,332.3333333333333,2723.0,66374.16666666667,123846.0,40850.0,440.105
DE117C,5744.666666666667,2497.3333333333335,43881.833333333336,93553.85714285714,9700.0,434.64
DE118C,18491.0,2096.0,47320.0,102720.71428571429,29000.0,502.26
DE119C,684.5,2013.6666666666667,52361.833333333336,103039.28571428571,16325.0,531.0275
DE120C,11803.0,2689.6666666666665,46566.0,93687.28571428571,34340.0,438.805
DE121C,2823.5,1983.0,45275.666666666664,83139.0,20180.0,518.9175
DE122C,3109.1666666666665,1648.3333333333333,42651.5,88283.66666666667,,480.4125
DE123C,28584.166666666668,1708.6666666666667,59017.5,103840.14285714286,28580.0,433.2325
DE124C,23258.5,10111.5,155100.83333333334,305480.0,,431.91999999999996
DE125C,20832.833333333332,2204.3333333333335,50464.666666666664,102110.0,20283.333333333332,357.085
DE126C,,2612.3333333333335,39925.333333333336,85374.57142857143,,467.97249999999997
DE127C,1686.1666666666667,1082.3333333333333,34492.0,67504.14285714286,28900.0,518.375
DE128C,,,,40017.0,,
DE129C,,,,45007.0,,
DE130C,,,,38922.0,,
DE131C,,,,37230.0,,
DE132C,,,,37101.0,,
DE133C,,,,38226.0,,
DE134C,,,,33617.0,,
DE135C,,,,33657.0,,
DE136C,,,,35212.0,,
DE137C,,,,30826.0,,
DE138C,,,,32630.0,,
DE139C,,,,24273.0,,
DE140C,,,,28643.0,,
DE141C,,,,28710.0,,
DE142C,,,,31069.0,,
