freq,unit,location_code,time_period,obs_value,obs_flag,conf_status,country_code,country_name,year,indicator,indicator_desc
A,PC,HU,2019,35.9,,,HU,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,HU,2020,32.0,,,HU,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,HU,2021,34.9,,,HU,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,HU,2022,32.8,,,HU,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,HU,2023,33.4,,,HU,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IE,2016,40.7,,,IE,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IE,2017,40.4,,,IE,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IE,2018,37.7,,,IE,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IE,2019,37.4,b,,IE,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IE,2020,40.8,b,,IE,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IS,2015,28.2,,,IS,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IS,2016,33.2,,,IS,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IS,2017,25.8,,,IS,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IS,2018,27.5,,,IS,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IS,2020,26.2,,,IS,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IS,2021,26.4,,,IS,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IS,2022,23.3,,,IS,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IS,2023,31.7,,,IS,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IT,2015,44.3,b,,IT,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IT,2016,45.9,,,IT,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IT,2017,47.8,,,IT,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IT,2018,49.8,,,IT,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IT,2019,51.4,,,IT,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IT,2020,51.4,,,IT,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IT,2021,51.9,,,IT,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IT,2022,53.3,,,IT,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,IT,2023,50.8,,,IT,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LT,2015,33.2,,,LT,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LT,2016,48.0,b,,LT,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LT,2017,48.1,,,LT,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LT,2018,52.6,,,LT,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LT,2019,49.7,,,LT,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LT,2020,45.3,,,LT,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LT,2021,44.3,,,LT,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LT,2022,48.4,,,LT,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LT,2023,49.3,,,LT,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LU,2015,47.4,,,LU,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LU,2016,49.2,b,,LU,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LU,2017,48.9,,,LU,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LU,2018,49.0,,,LU,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LU,2019,48.9,e,,LU,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LU,2020,52.8,,,LU,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LU,2021,55.3,,,LU,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LU,2022,55.6,,,LU,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LU,2023,56.5,,,LU,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LV,2015,28.7,,,LV,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LV,2016,25.2,,,LV,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LV,2017,24.8,,,LV,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LV,2018,25.2,,,LV,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LV,2019,41.0,,,LV,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LV,2020,39.7,,,LV,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LV,2021,44.1,,,LV,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,LV,2022,50.8,,,LV,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,ME,2018,3.7,e,,ME,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,ME,2019,5.3,e,,ME,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,ME,2020,4.6,e,,ME,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,ME,2021,4.7,e,,ME,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,ME,2022,4.2,e,,ME,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,ME,2023,3.7,e,,ME,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,MK,2022,0.0,e,,MK,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,MK,2023,0.0,e,,MK,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,MT,2015,10.9,,,MT,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,MT,2016,12.7,,,MT,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,MT,2017,11.5,,,MT,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,MT,2018,10.4,,,MT,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,MT,2019,9.1,,,MT,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,MT,2020,10.9,,,MT,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,MT,2021,13.6,,,MT,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,MT,2022,12.5,,,MT,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,MT,2023,17.4,,,MT,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,NL,2015,51.8,,,NL,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,NL,2016,53.5,,,NL,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,NL,2017,54.6,,,NL,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,NL,2018,55.9,,,NL,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,NL,2019,56.9,,,NL,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,NL,2020,57.0,,,NL,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,NL,2021,57.8,,,NL,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,NL,2022,57.6,p,,NL,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,NL,2023,58.4,,,NL,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,NO,2015,42.8,,,NO,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,NO,2016,38.2,b,,NO,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,NO,2017,38.8,,,NO,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,NO,2018,40.7,,,NO,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,NO,2019,40.9,,,NO,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,NO,2020,45.0,b,,NO,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,NO,2021,38.2,,,NO,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,NO,2022,41.2,,,NO,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,NO,2023,41.7,,,NO,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,PL,2015,32.5,e,,PL,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,PL,2016,34.8,e,,PL,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,PL,2017,33.8,e,,PL,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,PL,2018,34.3,e,,PL,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,PL,2019,34.1,e,,PL,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,PL,2020,38.7,,,PL,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,PL,2021,40.3,,,PL,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,PL,2022,40.9,,,PL,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,PL,2023,27.6,b,,PL,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,PT,2015,29.8,b,,PT,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,PT,2016,30.9,,,PT,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,PT,2017,29.1,,,PT,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,PT,2018,29.1,,,PT,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,PT,2019,28.9,,,PT,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,PT,2020,26.8,,,PT,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,PT,2021,30.4,,,PT,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,PT,2022,30.2,,,PT,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
